college_name,fees,established_on,courses_offered,class_timings,cutoff_marks,facilities,location_lat,location_lon
Indian Institute of Technology Kanpur,115620,1951,"BCA, B.Sc",8 AM - 6 PM,92,"Sports Complex, Labs, Gym, Library, Research Centers",21.739836477775686,87.91161211889337
Christ University,21582,1975,"BCA, MCA, B.Sc",9 AM - 6 PM,61,"Research Centers, Hostels",30.23976418200101,81.86312335224906
University of Calcutta,72313,1959,"MCA, MBBS",8 AM - 5 PM,92,"Labs, Gym, Library",31.549987983420923,86.94748143603219
Jamia Millia Islamia,57851,1994,"BBA, MBA",10 AM - 3 PM,96,"Research Centers, Labs, Library",35.52643972836655,96.14059541974768
Tata Institute of Social Sciences,50909,1987,"B.Sc, MBBS",8 AM - 6 PM,92,"Research Centers, Cafeteria",14.175794055276073,94.17025430418039
SRM Institute of Science and Technology,88732,2013,"B.Tech, B.Sc",9 AM - 5 PM,81,"Library, Gym, Research Centers",31.403535239298026,77.15876190776657
IIM Calcutta,260497,1983,"BCA, Ph.D",9 AM - 5 PM,80,"Sports Complex, Gym",19.909347990010332,88.86284327195926
Indian Institute of Science,159419,2003,Ph.D,8 AM - 3 PM,84,"Cafeteria, Research Centers, Labs",30.871632198360512,79.81007383504304
Indian Institute of Technology Madras,213848,1975,B.Sc,10 AM - 5 PM,88,"Library, Cafeteria, Sports Complex",17.43465181329452,88.1459852523493
Jawaharlal Nehru University,256359,1981,"B.Sc, MBBS",8 AM - 4 PM,100,"Hostels, Sports Complex",34.60276581101548,70.06095765390388
"National Institute of Technology, Trichy",168272,2018,"BBA, BCA",8 AM - 6 PM,83,"Hostels, Gym",27.893223694565464,88.38798367262342
Delhi University,121235,2017,"Ph.D, BBA",9 AM - 6 PM,76,"Labs, Research Centers, Cafeteria, Gym",21.183501445117905,73.80594167189737
Petty and Sons College,26048,1995,"MBBS, BCA",9 AM - 3 PM,98,"Hostels, Labs, Library, Sports Complex",11.339055660385156,75.63884933666596
Reyes PLC College,29473,1977,"M.Tech, Ph.D, B.Tech",8 AM - 6 PM,64,"Library, Cafeteria, Gym, Labs",22.860471160528355,71.7534439129197
Watts-Flores College,130304,1985,"M.Tech, BCA",9 AM - 6 PM,91,"Sports Complex, Cafeteria, Research Centers, Gym",25.8151815218199,74.39058556599672
Fitzpatrick-Lee College,236311,2016,"BCA, MBA, B.Sc",9 AM - 4 PM,61,"Gym, Research Centers, Sports Complex",12.244405386727859,72.02609419489245
Stewart PLC College,130490,1962,"MCA, BCA",8 AM - 3 PM,62,"Library, Gym",27.71972855318171,95.03067581322473
Pearson-Le College,267158,1993,"B.Sc, Ph.D",8 AM - 3 PM,100,"Labs, Gym, Cafeteria, Research Centers",36.69626009613104,82.23647760174839
Wright Ltd College,242560,1965,"B.Tech, B.Sc",9 AM - 4 PM,79,"Library, Hostels",36.8118223691404,95.1146159581277
Collins-Garcia College,88545,1996,"M.Sc, B.Tech, MBBS",10 AM - 6 PM,77,"Labs, Library, Gym",32.821306109375705,68.90483806394224
Moody LLC College,190625,2015,"M.Sc, B.Tech, M.Tech",10 AM - 3 PM,79,"Gym, Research Centers, Library, Hostels, Sports Complex",10.666048651441109,79.01127879913939
Velasquez-Peterson College,228324,1994,BCA,8 AM - 6 PM,91,"Cafeteria, Research Centers, Hostels, Sports Complex, Labs",13.88694074091044,85.57534591781224
Hudson Ltd College,124216,2005,MBBS,8 AM - 3 PM,66,"Gym, Cafeteria, Hostels",26.57408630074298,91.58116237631239
Burns-Castaneda College,118869,1992,MBBS,10 AM - 5 PM,85,"Labs, Research Centers, Library, Hostels",14.354911913587076,77.78305384208007
Hill-Yang College,205054,1960,MBA,8 AM - 4 PM,67,"Cafeteria, Research Centers, Sports Complex, Gym, Hostels",22.27477894621994,79.68232996812398
Morgan and Sons College,218957,2014,BCA,10 AM - 3 PM,84,"Library, Sports Complex, Cafeteria, Gym, Research Centers",20.99758288347868,68.01839656132397
Dickerson-Johnson College,235108,1987,"BCA, MBBS, M.Tech",9 AM - 6 PM,92,"Sports Complex, Labs, Hostels, Gym, Library",27.394372096325956,81.9075384651361
"Scott, Davenport and Copeland College",89527,1997,"BCA, MBBS, MBA",8 AM - 3 PM,62,"Hostels, Gym, Sports Complex",26.835190892032372,86.40540955888576
Schneider-Franklin College,181178,1982,B.Sc,10 AM - 5 PM,82,"Research Centers, Sports Complex, Gym",17.994699126947296,94.49652028381294
"Vincent, Payne and Martin College",173730,2019,MBA,8 AM - 3 PM,89,"Cafeteria, Sports Complex, Labs",12.174884326406179,87.45751773123256
"Barnes, Burton and Cannon College",41812,1968,"MCA, B.Tech, MBBS",10 AM - 3 PM,62,"Research Centers, Sports Complex, Hostels, Library",10.019515407435977,76.23727585445779
Walls-Newman College,106636,2005,"BBA, MCA",8 AM - 4 PM,77,"Sports Complex, Library, Labs, Research Centers",14.445228515888168,69.27628629900987
West Group College,294791,1956,"Ph.D, BBA, MCA",10 AM - 5 PM,60,"Labs, Sports Complex, Gym",35.043952497346325,94.4196723634242
"Owens, Pena and Knight College",116358,2000,"M.Sc, B.Tech, BBA",10 AM - 5 PM,86,"Sports Complex, Hostels, Library, Gym, Labs",25.74698538455381,92.18364018555397
"May, Henry and Montgomery College",61036,1954,"MBBS, B.Sc, M.Sc",9 AM - 5 PM,98,"Labs, Library",30.37548285722484,84.8745388965525
"Roth, Chaney and Jones College",128542,1985,"Ph.D, BBA, M.Tech",8 AM - 3 PM,83,"Library, Labs, Hostels",27.559856432955794,74.08775416343495
"Jones, Calderon and Smith College",112991,1953,B.Tech,10 AM - 4 PM,88,"Cafeteria, Research Centers, Hostels, Library",11.44641045530506,69.37556450034766
Russell-Vasquez College,74578,2005,"B.Tech, MBBS",9 AM - 3 PM,60,"Hostels, Sports Complex, Research Centers",21.03928139199615,82.9647766962168
Oliver Ltd College,228355,1956,M.Sc,8 AM - 5 PM,86,"Research Centers, Library, Sports Complex, Labs",30.997870293409697,76.94767880463222
Frey LLC College,201691,1996,"MBBS, MBA",10 AM - 3 PM,70,"Labs, Research Centers",30.264085693294195,85.70556345937166
"Haynes, Trujillo and Shelton College",217255,1980,"BBA, M.Sc",9 AM - 4 PM,100,"Library, Labs, Sports Complex, Hostels, Research Centers",36.84736409037078,79.62774129470276
"Miller, Klein and Young College",204230,2002,B.Tech,9 AM - 5 PM,63,"Research Centers, Library",17.405518590928033,74.62287915197989
Lewis and Sons College,29634,1978,"B.Tech, B.Sc, BBA",9 AM - 3 PM,100,"Sports Complex, Hostels, Research Centers",22.190281713193684,82.01006509233764
"Thomas, Buchanan and Payne College",156934,2009,"MCA, B.Tech, M.Sc",9 AM - 4 PM,88,"Cafeteria, Labs, Research Centers, Library, Sports Complex",27.413262138370108,68.10864029970692
"Owens, Ross and Watson College",107222,1960,M.Sc,10 AM - 3 PM,66,"Hostels, Library, Gym",28.61890087449295,88.68380303718403
Bailey PLC College,259256,1962,M.Sc,9 AM - 5 PM,87,"Library, Hostels, Research Centers, Labs, Cafeteria",34.95734205050521,79.10316617480188
Joseph Group College,289336,1953,MBA,10 AM - 5 PM,63,"Gym, Sports Complex",36.06678396665193,86.39610597625972
"Lewis, Hudson and Duncan College",238823,1971,"B.Tech, Ph.D",10 AM - 5 PM,61,"Labs, Library",18.4582826450014,96.24556075323198
Lewis PLC College,152232,1986,"BCA, MBA, MBBS",8 AM - 6 PM,79,"Library, Research Centers, Hostels, Cafeteria, Labs",18.815171891477526,89.49017853308249
Nolan LLC College,137707,1970,"Ph.D, MBBS",10 AM - 3 PM,75,"Gym, Sports Complex, Cafeteria, Research Centers, Library",34.15274865685906,68.7192826207284
Evans PLC College,183449,1963,"M.Sc, MCA",10 AM - 4 PM,96,"Sports Complex, Research Centers, Hostels",14.891707065382988,89.78397688786718
"Martinez, Wilson and Hart College",168145,1961,"Ph.D, MCA",10 AM - 3 PM,77,"Hostels, Labs",18.338669102878974,76.68758001536365
"Walker, Flores and Coleman College",158264,1990,MCA,10 AM - 5 PM,100,"Labs, Gym, Cafeteria, Hostels",32.166470440895324,80.80868669059006
"Delacruz, Short and Martin College",294623,1991,"MBBS, BCA, MCA",9 AM - 3 PM,60,"Research Centers, Cafeteria, Hostels",33.8828784932645,90.56222702632886
Howell-Vasquez College,105823,1976,BBA,10 AM - 5 PM,97,"Hostels, Sports Complex",31.233522741198765,82.63850188733458
Dunn Ltd College,162329,2020,MBBS,10 AM - 4 PM,71,"Sports Complex, Labs, Cafeteria",22.414890580754516,82.7866354265789
Jacobson-Mclaughlin College,204911,1984,"MBBS, Ph.D",10 AM - 5 PM,95,"Research Centers, Library, Sports Complex, Hostels",23.378527340913244,72.5326036524394
"Chase, Mitchell and Garcia College",283442,2010,"M.Tech, M.Sc, Ph.D",10 AM - 4 PM,62,"Hostels, Research Centers, Gym, Cafeteria",33.26015451879722,87.55889860029052
Freeman-Church College,235483,1965,"MBBS, B.Sc, MCA",9 AM - 6 PM,93,"Cafeteria, Research Centers, Sports Complex",21.45397092197007,73.40731941083413
Brown Inc College,277672,1978,"M.Tech, MBBS, B.Tech",8 AM - 4 PM,62,"Gym, Research Centers, Library",15.81640113327089,94.76149768766709
Velez and Sons College,285660,1963,B.Sc,8 AM - 3 PM,74,"Gym, Labs, Research Centers, Cafeteria, Library",15.237134214151737,70.25133788813918
Harris-Stark College,292548,1973,B.Sc,9 AM - 6 PM,98,"Labs, Research Centers, Hostels, Cafeteria, Library",9.886317127095937,94.99925943674113
Andrews-Morris College,176122,2014,"BCA, B.Sc",9 AM - 4 PM,91,"Research Centers, Labs, Hostels",13.283914760468164,93.29101681261672
Taylor-Lawson College,113165,1964,Ph.D,8 AM - 3 PM,72,"Research Centers, Library, Hostels",32.03711568173331,90.2495667584459
"Brown, Snyder and Li College",238680,1980,"MBA, M.Sc, MCA",8 AM - 3 PM,73,"Gym, Library",21.80187733470204,94.13902771761919
Griffin-Chambers College,269734,1964,"BBA, MBA",8 AM - 5 PM,71,"Library, Gym",35.36479256886175,93.2430625131868
Walker Ltd College,286840,1974,BBA,9 AM - 3 PM,92,"Hostels, Research Centers, Cafeteria",17.897356163358197,85.53337230008526
"Stewart, Harrison and Marquez College",68128,1974,BBA,8 AM - 6 PM,62,"Hostels, Research Centers, Gym, Labs",22.415083663277045,85.34146316256654
"Best, Matthews and Conway College",223532,1971,"MCA, MBA",10 AM - 3 PM,75,"Cafeteria, Sports Complex, Hostels, Labs",31.12111321529467,83.0965780356476
"Valdez, Carr and Miller College",73112,1963,"M.Tech, BBA, M.Sc",9 AM - 3 PM,62,"Gym, Library, Hostels, Labs",10.00095746285043,73.7545026571391
"Garcia, Whitney and Jones College",263789,1964,"M.Tech, MBBS",8 AM - 6 PM,85,"Hostels, Sports Complex, Library, Research Centers",10.535767828359251,74.21642068110495
Barron-Williams College,46689,1995,"B.Tech, MBBS, B.Sc",9 AM - 5 PM,68,"Gym, Hostels",18.61177998371211,80.59718788636063
Ward-Calderon College,105433,1982,"M.Sc, MBBS, B.Sc",8 AM - 4 PM,89,"Cafeteria, Labs",32.698978042323375,78.96274231054929
"Adams, Hunter and Gould College",110239,1977,M.Tech,10 AM - 6 PM,92,"Sports Complex, Gym, Cafeteria, Hostels, Library",18.934994463882564,96.19917704933545
"Lambert, Ruiz and Smith College",88708,1970,M.Tech,8 AM - 6 PM,70,"Sports Complex, Library",27.411920218736608,83.2055581264064
Evans-Wade College,254814,2016,"MCA, B.Tech, MBBS",8 AM - 5 PM,84,"Cafeteria, Library, Hostels, Gym, Sports Complex",35.24946317058007,73.88495184511652
Wells PLC College,170264,1989,BCA,9 AM - 4 PM,87,"Hostels, Library, Sports Complex, Cafeteria, Gym",9.93830499344104,69.5129854134096
"Graham, Price and Brown College",171159,1994,"BBA, BCA, M.Sc",10 AM - 6 PM,67,"Gym, Sports Complex, Cafeteria, Labs, Hostels",32.844641933639494,81.57513266622091
Martin and Sons College,283423,1972,"MBA, BCA, MCA",9 AM - 4 PM,90,"Hostels, Sports Complex, Research Centers, Labs",22.111350238676735,84.99429093507388
"Love, Perez and Monroe College",286586,2013,B.Tech,8 AM - 5 PM,80,"Labs, Research Centers, Sports Complex",21.812373068296193,86.10895633148165
Diaz-Perry College,133025,1955,"BCA, Ph.D, M.Tech",8 AM - 4 PM,64,"Research Centers, Hostels, Cafeteria, Library",20.659498535430608,78.33095632823634
Lynn Inc College,94075,1958,MCA,10 AM - 5 PM,76,"Labs, Hostels",11.850978252006456,71.70674095681956
Christensen Group College,61991,1959,Ph.D,10 AM - 6 PM,77,"Gym, Hostels",33.55905794822361,92.81741131611749
Bass and Sons College,181689,1976,"MBBS, Ph.D, B.Tech",8 AM - 6 PM,68,"Hostels, Labs",15.905389304196444,88.11095238067234
Melton Group College,260676,1964,"BBA, MBBS, MBA",10 AM - 3 PM,97,"Labs, Sports Complex, Gym",26.45786023576348,84.11808677527404
Rivera LLC College,130497,1976,B.Sc,10 AM - 6 PM,76,"Library, Hostels, Gym",11.577666647712336,70.26578272015531
Chavez-Holmes College,21389,2002,MBA,8 AM - 3 PM,95,"Sports Complex, Labs, Gym, Library, Research Centers",25.120598795993406,69.96915003714008
Hernandez Group College,107020,2006,MCA,10 AM - 6 PM,75,"Library, Gym, Sports Complex, Hostels, Research Centers",14.109309963938664,80.07345551818166
Burke-Richards College,25478,1966,"MBA, Ph.D",10 AM - 4 PM,99,"Research Centers, Library, Labs, Gym, Sports Complex",10.771619729377088,76.20235442232708
Lambert-Davis College,34990,1968,B.Tech,8 AM - 4 PM,84,"Cafeteria, Labs, Library",15.038500436097387,94.19727632348818
Harris-Williams College,194342,1999,"MBBS, BBA, B.Tech",9 AM - 4 PM,88,"Labs, Research Centers, Hostels, Gym",25.362876721558344,81.91799703348224
Robles-Pearson College,160841,2013,M.Sc,10 AM - 4 PM,70,"Library, Hostels, Research Centers, Labs",31.176439136009076,94.35346148200941
"Allen, Wheeler and Mack College",258776,1969,"M.Tech, B.Sc, MBA",8 AM - 4 PM,62,"Library, Labs, Cafeteria, Research Centers",32.7501828469332,95.40600285557164
Griffin Group College,191293,1982,"BBA, M.Tech",8 AM - 5 PM,67,"Labs, Cafeteria, Library, Research Centers",8.25031390466317,78.52703856715404
"Austin, Henry and Beck College",220464,1968,"B.Tech, B.Sc, BCA",9 AM - 4 PM,79,"Hostels, Library, Gym",25.92502423770839,93.6656357055805
Carpenter-Coleman College,143393,1989,B.Sc,10 AM - 6 PM,74,"Sports Complex, Cafeteria, Hostels",13.704833406387822,90.05488113414908
Houston LLC College,143698,2015,"M.Sc, MBBS, Ph.D",9 AM - 4 PM,61,"Labs, Hostels, Sports Complex",26.26945761343953,79.68826860217432
Branch Group College,233197,2020,MCA,9 AM - 4 PM,63,"Library, Cafeteria, Labs",32.20599267596874,85.87131076525105
Greene-Osborne College,141916,1994,M.Sc,10 AM - 4 PM,75,"Cafeteria, Library, Research Centers",27.17323747696405,80.05081657707069
Shaffer and Sons College,145467,1969,"M.Tech, MBA",10 AM - 5 PM,87,"Sports Complex, Gym",35.7732810186385,86.39556177320114
Carpenter-Robinson College,267548,1959,"B.Sc, Ph.D, M.Tech",10 AM - 4 PM,94,"Labs, Cafeteria, Library",26.963187502674355,77.66546566057042
"Caldwell, Perez and Stewart College",249056,2017,Ph.D,8 AM - 4 PM,97,"Cafeteria, Labs, Research Centers, Gym, Library",29.50432558165799,69.91867710449432
Clark Group College,105622,2012,"BBA, B.Sc",9 AM - 3 PM,61,"Labs, Research Centers, Cafeteria, Library, Gym",23.82397925102838,79.6748773618255
Wagner and Sons College,105407,2015,M.Tech,10 AM - 4 PM,70,"Cafeteria, Research Centers, Labs, Sports Complex, Gym",28.46358950136959,81.22578083617181
"Moody, Roberts and Madden College",249695,2010,"M.Tech, BBA, MBBS",9 AM - 5 PM,97,"Gym, Sports Complex, Hostels",32.91858496997045,75.59414334644732
"Thomas, Perry and Alexander College",195858,1979,MBBS,10 AM - 5 PM,94,"Sports Complex, Hostels, Research Centers, Cafeteria",26.556100763601286,74.93011946221188
Perry Group College,129017,2003,"M.Sc, BBA",8 AM - 5 PM,90,"Labs, Cafeteria, Library, Gym, Hostels",13.258557574685213,95.37758171612197
"Shaw, Payne and Hardin College",20946,1997,"M.Sc, B.Sc",8 AM - 4 PM,97,"Gym, Hostels, Sports Complex, Library, Cafeteria",36.76418626639238,73.95347021565624
White-Robles College,185356,1997,Ph.D,8 AM - 6 PM,74,"Research Centers, Gym, Hostels, Sports Complex",26.62159214017412,78.373177649562
Benson-Floyd College,88471,2007,"B.Tech, M.Sc",10 AM - 3 PM,67,"Gym, Research Centers",28.793004764108254,73.73990682227904
Little-Perez College,239911,1953,"M.Tech, MBBS",9 AM - 6 PM,89,"Library, Research Centers, Gym, Cafeteria, Labs",36.73160742607952,78.22742831353217
Lawson-Rice College,190487,1981,"M.Tech, B.Tech, MBA",8 AM - 4 PM,100,"Hostels, Sports Complex, Cafeteria, Labs, Gym",17.191731938715602,81.28567643534767
"Lamb, Hayes and Clarke College",84822,1970,"MCA, BBA, Ph.D",8 AM - 3 PM,70,"Library, Research Centers, Hostels, Sports Complex, Labs",31.13101644999098,80.8817252727582
Boyer LLC College,21860,2011,"BBA, MCA, B.Sc",9 AM - 4 PM,71,"Hostels, Library, Labs, Gym, Cafeteria",33.35106963823662,96.25177481384696
Joseph and Sons College,68173,1992,"B.Tech, BBA, M.Tech",8 AM - 4 PM,71,"Research Centers, Labs",28.076659685182996,69.66641046643532
Hawkins-Ruiz College,179965,1950,"Ph.D, MBA",9 AM - 4 PM,65,"Research Centers, Hostels, Library",22.81300772324098,78.69383775056244
Jordan PLC College,257533,1973,"B.Sc, MBBS",9 AM - 3 PM,90,"Hostels, Sports Complex, Research Centers, Gym",24.828605362241394,75.31738662365484
Higgins Ltd College,267839,2017,M.Sc,8 AM - 4 PM,96,"Sports Complex, Library",10.37298941127398,96.97098245780869
"Rush, Luna and Bell College",286074,2000,MBA,8 AM - 4 PM,61,"Gym, Cafeteria, Sports Complex, Hostels, Research Centers",12.565610761382139,87.77740004570336
Bailey PLC College,108549,1953,B.Tech,9 AM - 3 PM,75,"Sports Complex, Hostels, Research Centers, Cafeteria, Gym",29.618844407855292,75.1385697684188
Jackson Ltd College,204643,1951,MBA,10 AM - 4 PM,97,"Research Centers, Labs",19.089675128909114,82.78237729187677
Woods Inc College,55897,1988,"MBA, Ph.D, MCA",10 AM - 4 PM,85,"Gym, Labs, Sports Complex",33.696238779426096,76.39450157514403
Wilson-Johnson College,297381,1974,"B.Sc, M.Sc",9 AM - 6 PM,90,"Hostels, Labs, Sports Complex, Library",36.34386996854411,94.69042125093627
Rogers-Brown College,29722,1978,"BCA, Ph.D, B.Tech",8 AM - 3 PM,64,"Gym, Library, Cafeteria, Research Centers",29.988214048224258,96.63642772288274
Cummings-Stewart College,112113,1979,"MBBS, B.Sc",8 AM - 4 PM,84,"Gym, Sports Complex, Cafeteria, Labs",12.63957618274917,90.95577857044924
Smith Ltd College,168316,1990,B.Sc,10 AM - 5 PM,94,"Gym, Hostels, Library",15.090597340534295,95.52368082983486
Joseph LLC College,43332,2012,"BCA, MCA, M.Sc",9 AM - 4 PM,90,"Cafeteria, Hostels, Library, Gym, Research Centers",11.597298955955058,78.7626199791867
"Hobbs, Walsh and Phillips College",245829,1982,MBA,10 AM - 3 PM,84,"Cafeteria, Hostels, Library, Labs, Sports Complex",32.637797961223896,86.13494443694522
Chavez PLC College,200123,1977,"MBA, M.Sc",10 AM - 5 PM,69,"Research Centers, Hostels, Labs, Library, Sports Complex",10.096441860284628,89.31864094862041
Coleman and Sons College,188353,2007,MBA,9 AM - 5 PM,89,"Library, Hostels, Cafeteria, Gym, Sports Complex",29.71174006298669,95.10764845503448
Lane PLC College,243359,1966,BBA,10 AM - 4 PM,84,"Labs, Gym, Hostels, Library",11.511002204554172,77.7593470036894
"Young, Barker and Jones College",125253,1994,B.Sc,8 AM - 5 PM,75,"Hostels, Sports Complex, Library, Gym, Cafeteria",12.085431085906482,83.40363666874921
Saunders-Brooks College,32674,1967,"B.Sc, MCA, BBA",8 AM - 5 PM,65,"Sports Complex, Gym, Hostels, Cafeteria",10.9882309558308,84.37468563014362
Richmond and Sons College,124953,2017,M.Sc,9 AM - 6 PM,76,"Research Centers, Gym, Cafeteria",34.63062903666345,86.8002458129029
Wilkins-Haney College,183311,2016,"MBA, BBA",9 AM - 6 PM,90,"Research Centers, Labs, Cafeteria, Gym",23.78444395155253,93.86184068674169
Case-Fisher College,58065,1966,"MBA, M.Tech",8 AM - 4 PM,93,"Cafeteria, Labs",36.45710506254606,84.51397208582218
"Swanson, Cole and Payne College",116989,1983,"M.Sc, MCA",8 AM - 3 PM,89,"Hostels, Library, Gym",15.114991743809265,69.90637775673281
"Rocha, Bowman and Smith College",175014,1998,Ph.D,8 AM - 6 PM,92,"Cafeteria, Research Centers",30.409228403061736,93.40747439883671
"Gardner, Moran and Lee College",61722,1959,M.Sc,8 AM - 6 PM,87,"Hostels, Sports Complex, Labs",32.54963906917767,77.43303776106691
Jones Ltd College,299861,1993,"BCA, B.Tech",9 AM - 4 PM,61,"Sports Complex, Cafeteria",24.039573826044485,83.98160703021654
Martin-Kim College,288974,2018,"M.Tech, MCA",8 AM - 6 PM,77,"Labs, Sports Complex",33.275478570461004,86.15032513875875
Schmidt-Cox College,197157,1970,"MBBS, B.Tech",8 AM - 6 PM,63,"Hostels, Labs, Cafeteria, Library, Research Centers",17.881573915155776,81.5698173658963
Lawrence-Johnson College,265021,2017,BCA,10 AM - 3 PM,92,"Gym, Cafeteria",15.47867362748057,78.6399193745197
Sutton Group College,283838,2020,B.Sc,9 AM - 6 PM,77,"Gym, Hostels, Sports Complex",27.20327506907274,96.39415310766036
Rivera PLC College,153250,1964,BCA,10 AM - 6 PM,69,"Research Centers, Library, Sports Complex",21.035908575824525,83.48724657579316
Smith-Johnson College,192140,1979,BBA,10 AM - 3 PM,81,"Labs, Sports Complex, Library, Hostels",25.09108538457425,68.30219274147642
"Campbell, Spears and Owen College",191975,1985,"M.Tech, MBBS",10 AM - 6 PM,66,"Sports Complex, Research Centers, Gym, Hostels",9.716760237853473,95.51797289756344
"Dalton, Olson and Burgess College",230343,1979,"MBBS, MCA, M.Sc",10 AM - 3 PM,65,"Library, Labs, Gym, Sports Complex, Hostels",30.386174280279928,95.91715742251702
Coleman-Gould College,218865,1980,M.Tech,9 AM - 4 PM,82,"Research Centers, Cafeteria, Hostels, Library, Sports Complex",25.804972987041428,93.54893548483824
Hale-Murphy College,184919,1994,M.Sc,8 AM - 4 PM,65,"Hostels, Labs",8.882062656959889,83.9243353343218
Green PLC College,56721,1952,M.Tech,8 AM - 4 PM,98,"Library, Cafeteria",35.174599572071656,78.73302852243708
"Thompson, Smith and Hampton College",38728,1980,"M.Sc, Ph.D",9 AM - 4 PM,60,"Library, Sports Complex, Labs",13.974027081310926,94.14198899537115
Ferguson-Johnson College,111095,1990,"MBBS, BBA, MCA",8 AM - 4 PM,74,"Labs, Cafeteria, Gym, Sports Complex",15.618250506914226,72.89663377915389
Castro Group College,35279,2018,"Ph.D, BBA, MCA",8 AM - 3 PM,67,"Gym, Library",27.11209795578538,79.17506006872196
Adams PLC College,254510,1994,"Ph.D, M.Sc, MBBS",10 AM - 6 PM,74,"Cafeteria, Gym, Sports Complex, Labs, Hostels",22.15716232793376,81.55232060758962
Barnes Inc College,142004,1976,MCA,10 AM - 4 PM,83,"Library, Sports Complex, Cafeteria, Labs",8.31678742892685,81.34888206462722
"Meyer, Frank and Romero College",107469,1971,B.Sc,8 AM - 4 PM,87,"Sports Complex, Labs, Hostels, Library, Cafeteria",14.685831518043571,83.04603220998847
"Gillespie, Moss and Welch College",194209,1969,BCA,8 AM - 4 PM,74,"Gym, Labs, Hostels, Research Centers, Sports Complex",36.17090731166786,80.44322237153384
Alvarado-Cochran College,287476,1968,"MBBS, BCA, B.Tech",9 AM - 4 PM,95,"Gym, Labs, Cafeteria, Library, Research Centers",32.94358235259594,76.11942030570208
Bailey Group College,224130,2003,"B.Tech, MCA, M.Tech",9 AM - 4 PM,87,"Research Centers, Labs",32.1753006426961,83.80170511863675
Anderson Ltd College,276645,1990,"MBA, M.Sc",9 AM - 3 PM,88,"Research Centers, Sports Complex, Labs, Gym, Hostels",8.539926643029679,68.67274069753395
"Payne, Wilson and Moreno College",100361,1991,MBA,9 AM - 5 PM,64,"Gym, Sports Complex, Research Centers, Hostels, Cafeteria",18.493141791081403,80.38106597647368
Ali Group College,205684,1983,"M.Tech, Ph.D, MBA",8 AM - 4 PM,61,"Cafeteria, Gym, Research Centers, Sports Complex",26.056192746013334,85.83358140372864
"Winters, Anderson and Zimmerman College",232927,1980,M.Tech,8 AM - 3 PM,71,"Hostels, Gym, Library, Cafeteria, Sports Complex",16.679047193370145,87.22062687171857
Campbell-Ferguson College,232170,1989,"B.Tech, M.Sc",10 AM - 5 PM,73,"Library, Sports Complex, Gym, Labs",14.477920153182358,73.47337652001706
